Data,Kraków - ul. Złoty Róg (pył zawieszony PM10 [jednostka ug/m3]),
2021-01-01,49.25,
2021-01-02,53.42,
2021-01-03,47.43,
2021-01-04,50.74,
2021-01-05,21.12,
2021-01-06,35.34,
2021-01-07,37.79,
2021-01-08,38.83,
2021-01-09,36.46,
2021-01-10,54.97,
2021-01-11,80.67,
2021-01-12,81.63,
2021-01-13,-,
2021-01-14,22.85,
2021-01-15,25.75,
2021-01-16,24.88,
2021-01-17,32.89,
2021-01-18,83.25,
2021-01-19,49.63,
2021-01-20,27.29,
2021-01-21,62.72,
2021-01-22,35.71,
2021-01-23,24.26,
2021-01-24,27.04,
2021-01-25,23.20,
2021-01-26,32.76,
2021-01-27,33.24,
2021-01-28,51.62,
2021-01-29,26.94,
2021-01-30,40.02,
2021-01-31,34.12,
2021-02-01,61.95,
2021-02-02,90.98,
2021-02-03,51.34,
2021-02-04,18.03,
2021-02-05,32.24,
2021-02-06,23.02,
2021-02-07,25.64,
2021-02-08,34.45,
2021-02-09,93.23,
2021-02-10,89.66,
2021-02-11,43.18,
2021-02-12,33.25,
2021-02-13,57.37,
2021-02-14,33.23,
2021-02-15,69.33,
2021-02-16,101.43,
2021-02-17,58.03,
2021-02-18,49.57,
2021-02-19,75.99,
2021-02-20,77.76,
2021-02-21,66.39,
2021-02-22,67.70,
2021-02-23,74.95,
2021-02-24,118.83,
2021-02-25,119.11,
2021-02-26,78.69,
2021-02-27,25.92,
2021-02-28,27.86,
2021-03-01,35.33,
2021-03-02,62.27,
2021-03-03,73.42,
2021-03-04,61.77,
2021-03-05,26.67,
2021-03-06,40.42,
2021-03-07,31.59,
2021-03-08,37.57,
2021-03-09,52.11,
2021-03-10,50.52,
2021-03-11,48.14,
2021-03-12,19.41,
2021-03-13,21.63,
2021-03-14,11.95,
2021-03-15,43.98,
2021-03-16,-,
2021-03-17,-,
2021-03-18,22.75,
2021-03-19,46.57,
2021-03-20,19.53,
2021-03-21,28.41,
2021-03-22,19.42,
2021-03-23,41.23,
2021-03-24,44.85,
2021-03-25,72.21,
2021-03-26,93.10,
2021-03-27,49.36,
2021-03-28,25.48,
2021-03-29,46.01,
2021-03-30,47.58,
2021-03-31,59.21,
2021-04-01,46.75,
2021-04-02,24.97,
2021-04-03,26.28,
2021-04-04,16.78,
2021-04-05,24.08,
2021-04-06,19.58,
2021-04-07,23.51,
2021-04-08,18.26,
2021-04-09,31.20,
2021-04-10,33.54,
2021-04-11,24.89,
2021-04-12,30.44,
2021-04-13,14.34,
2021-04-14,15.51,
2021-04-15,13.21,
2021-04-16,15.68,
2021-04-17,26.50,
2021-04-18,34.04,
2021-04-19,42.98,
2021-04-20,31.48,
2021-04-21,41.82,
2021-04-22,30.62,
2021-04-23,26.22,
2021-04-24,32.33,
2021-04-25,22.29,
2021-04-26,31.90,
2021-04-27,29.65,
2021-04-28,35.04,
2021-04-29,36.51,
2021-04-30,23.84,
2021-05-01,29.50,
2021-05-02,17.57,
2021-05-03,14.71,
2021-05-04,22.38,
2021-05-05,14.31,
2021-05-06,12.63,
2021-05-07,11.06,
2021-05-08,19.11,
2021-05-09,18.03,
2021-05-10,22.60,
2021-05-11,31.34,
2021-05-12,33.52,
2021-05-13,28.79,
2021-05-14,20.70,
2021-05-15,12.52,
2021-05-16,13.14,
2021-05-17,15.12,
2021-05-18,13.40,
2021-05-19,20.03,
2021-05-20,15.29,
2021-05-21,17.47,
2021-05-22,13.31,
2021-05-23,10.66,
2021-05-24,15.73,
2021-05-25,14.43,
2021-05-26,17.00,
2021-05-27,15.02,
2021-05-28,17.18,
2021-05-29,13.77,
2021-05-30,12.65,
2021-05-31,17.27,
2021-06-01,23.44,
2021-06-02,26.23,
2021-06-03,19.06,
2021-06-04,23.82,
2021-06-05,16.46,
2021-06-06,18.69,
2021-06-07,20.23,
2021-06-08,26.02,
2021-06-09,23.30,
2021-06-10,18.78,
2021-06-11,24.29,
2021-06-12,20.25,
2021-06-13,13.42,
2021-06-14,13.32,
2021-06-15,23.34,
2021-06-16,27.84,
2021-06-17,28.71,
2021-06-18,27.27,
2021-06-19,21.85,
2021-06-20,16.30,
2021-06-21,31.11,
2021-06-22,30.36,
2021-06-23,31.96,
2021-06-24,36.11,
2021-06-25,14.99,
2021-06-26,16.33,
2021-06-27,18.74,
2021-06-28,22.91,
2021-06-29,24.16,
2021-06-30,14.60,
2021-07-01,18.60,
2021-07-02,16.89,
2021-07-03,19.72,
2021-07-04,21.67,
2021-07-05,19.32,
2021-07-06,22.90,
2021-07-07,25.76,
2021-07-08,33.29,
2021-07-09,26.55,
2021-07-10,12.45,
2021-07-11,15.53,
2021-07-12,14.99,
2021-07-13,23.53,
2021-07-14,38.64,
2021-07-15,20.18,
2021-07-16,27.49,
2021-07-17,22.05,
2021-07-18,25.45,
2021-07-19,18.49,
2021-07-20,17.27,
2021-07-21,23.07,
2021-07-22,20.08,
2021-07-23,23.81,
2021-07-24,23.32,
2021-07-25,22.00,
2021-07-26,15.59,
2021-07-27,19.72,
2021-07-28,24.10,
2021-07-29,16.99,
2021-07-30,25.08,
2021-07-31,18.05,
2021-08-01,12.86,
2021-08-02,10.46,
2021-08-03,11.21,
2021-08-04,14.35,
2021-08-05,7.53,
2021-08-06,9.27,
2021-08-07,13.44,
2021-08-08,9.58,
2021-08-09,12.44,
2021-08-10,18.42,
2021-08-11,17.67,
2021-08-12,20.94,
2021-08-13,28.78,
2021-08-14,26.00,
2021-08-15,25.84,
2021-08-16,21.73,
2021-08-17,11.48,
2021-08-18,14.47,
2021-08-19,10.71,
2021-08-20,19.81,
2021-08-21,20.80,
2021-08-22,19.85,
2021-08-23,12.60,
2021-08-24,11.29,
2021-08-25,23.55,
2021-08-26,18.85,
2021-08-27,20.91,
2021-08-28,13.66,
2021-08-29,15.20,
2021-08-30,12.08,
2021-08-31,7.06,
2021-09-01,11.25,
2021-09-02,18.77,
2021-09-03,22.70,
2021-09-04,24.62,
2021-09-05,12.98,
2021-09-06,20.24,
2021-09-07,28.04,
2021-09-08,28.44,
2021-09-09,30.12,
2021-09-10,33.81,
2021-09-11,32.41,
2021-09-12,26.01,
2021-09-13,28.53,
2021-09-14,31.05,
2021-09-15,35.28,
2021-09-16,36.80,
2021-09-17,13.32,
2021-09-18,10.54,
2021-09-19,15.97,
2021-09-20,13.27,
2021-09-21,20.74,
2021-09-22,16.01,
2021-09-23,24.56,
2021-09-24,19.78,
2021-09-25,21.01,
2021-09-26,22.09,
2021-09-27,26.30,
2021-09-28,23.39,
2021-09-29,31.23,
2021-09-30,27.68,
2021-10-01,23.42,
2021-10-02,26.54,
2021-10-03,26.77,
2021-10-04,37.15,
2021-10-05,34.82,
2021-10-06,27.28,
2021-10-07,42.18,
2021-10-08,39.84,
2021-10-09,30.38,
2021-10-10,42.10,
2021-10-11,65.73,
2021-10-12,36.65,
2021-10-13,20.35,
2021-10-14,30.00,
2021-10-15,22.10,
2021-10-16,23.39,
2021-10-17,34.57,
2021-10-18,41.14,
2021-10-19,31.23,
2021-10-20,32.89,
2021-10-21,26.77,
2021-10-22,13.54,
2021-10-23,18.25,
2021-10-24,30.50,
2021-10-25,41.62,
2021-10-26,57.17,
2021-10-27,47.87,
2021-10-28,59.50,
2021-10-29,68.71,
2021-10-30,39.36,
2021-10-31,30.88,
2021-11-01,32.60,
2021-11-02,34.50,
2021-11-03,21.70,
2021-11-04,16.20,
2021-11-05,13.03,
2021-11-06,28.96,
2021-11-07,35.50,
2021-11-08,19.57,
2021-11-09,28.89,
2021-11-10,53.74,
2021-11-11,70.78,
2021-11-12,55.24,
2021-11-13,54.45,
2021-11-14,56.19,
2021-11-15,51.39,
2021-11-16,44.67,
2021-11-17,45.55,
2021-11-18,24.12,
2021-11-19,15.50,
2021-11-20,-,
2021-11-21,-,
2021-11-22,27.57,
2021-11-23,20.34,
2021-11-24,27.46,
2021-11-25,66.00,
2021-11-26,56.16,
2021-11-27,27.35,
2021-11-28,45.27,
2021-11-29,23.17,
2021-11-30,13.18,
2021-12-01,11.27,
2021-12-02,15.79,
2021-12-03,22.57,
2021-12-04,33.42,
2021-12-05,33.53,
2021-12-06,53.05,
2021-12-07,33.36,
2021-12-08,30.83,
2021-12-09,34.40,
2021-12-10,73.76,
2021-12-11,69.44,
2021-12-12,58.27,
2021-12-13,115.08,
2021-12-14,134.86,
2021-12-15,72.68,
2021-12-16,34.72,
2021-12-17,20.12,
2021-12-18,24.54,
2021-12-19,13.18,
2021-12-20,12.55,
2021-12-21,27.82,
2021-12-22,64.32,
2021-12-23,59.57,
2021-12-24,14.87,
2021-12-25,15.65,
2021-12-26,39.09,
2021-12-27,59.25,
2021-12-28,39.31,
2021-12-29,66.03,
2021-12-30,73.56,
2021-12-31,11.91,
